run,step,episodes_since_last,wins_since_last,reward_mean,win_rate,total_steps
curriculum_w2_mix_125,0,200,34,0.35600000000000004,0.17,125
curriculum_w2_mix_125,1,210,73,0.4695238095238095,0.3476190476190476,125
curriculum_w2_mix_125,2,182,52,0.4417582417582418,0.2857142857142857,125
curriculum_w2_mix_125,3,202,56,0.4207920792079208,0.27722772277227725,125
curriculum_w2_mix_125,4,217,44,0.39262672811059907,0.20276497695852536,125
curriculum_w2_mix_125,5,198,52,0.3888888888888889,0.26262626262626265,125
curriculum_w2_mix_125,6,199,68,0.4271356783919598,0.3417085427135678,125
curriculum_w2_mix_125,7,187,46,0.39572192513368987,0.24598930481283424,125
curriculum_w2_mix_125,8,201,50,0.3950248756218906,0.24875621890547264,125
curriculum_w2_mix_125,9,205,57,0.4380487804878049,0.2780487804878049,125
curriculum_w2_mix_125,10,213,58,0.40187793427230045,0.27230046948356806,125
curriculum_w2_mix_125,11,202,49,0.37524752475247525,0.24257425742574257,125
curriculum_w2_mix_125,12,217,59,0.391705069124424,0.271889400921659,125
curriculum_w2_mix_125,13,204,52,0.3813725490196078,0.2549019607843137,125
curriculum_w2_mix_125,14,198,55,0.47474747474747475,0.2777777777777778,125
curriculum_w2_mix_125,15,192,64,0.4395833333333334,0.3333333333333333,125
curriculum_w2_mix_125,16,195,50,0.3958974358974359,0.2564102564102564,125
curriculum_w2_mix_125,17,204,55,0.3892156862745098,0.2696078431372549,125
curriculum_w2_mix_125,18,209,62,0.4172248803827751,0.2966507177033493,125
curriculum_w2_mix_125,19,212,53,0.4056603773584906,0.25,125
curriculum_w2_mix_125,20,213,34,0.27887323943661974,0.1596244131455399,125
curriculum_w2_mix_125,21,212,69,0.4641509433962264,0.32547169811320753,125
curriculum_w2_mix_125,22,185,67,0.47243243243243244,0.3621621621621622,125
curriculum_w2_mix_125,23,192,67,0.48333333333333334,0.3489583333333333,125
curriculum_w2_mix_125,24,216,41,0.3194444444444444,0.18981481481481483,125
curriculum_w2_mix_125,25,231,79,0.47792207792207797,0.341991341991342,125
curriculum_w2_mix_125,26,195,46,0.3528205128205128,0.2358974358974359,125
curriculum_w2_mix_125,27,202,42,0.3712871287128713,0.2079207920792079,125
curriculum_w2_mix_125,28,207,55,0.391304347826087,0.26570048309178745,125
curriculum_w2_mix_125,29,181,61,0.4718232044198895,0.3370165745856354,125
curriculum_w2_mix_125,30,212,77,0.45943396226415095,0.3632075471698113,125
curriculum_w2_mix_125,31,175,43,0.4,0.24571428571428572,125
curriculum_w2_mix_125,32,207,51,0.3710144927536232,0.2463768115942029,125
curriculum_w2_mix_125,33,195,47,0.39384615384615385,0.24102564102564103,125
curriculum_w2_mix_125,34,201,60,0.4338308457711443,0.29850746268656714,125
curriculum_w2_mix_125,35,180,53,0.43333333333333335,0.29444444444444445,125
curriculum_w2_mix_125,36,199,58,0.3989949748743719,0.2914572864321608,125
curriculum_w2_mix_125,37,202,55,0.402970297029703,0.2722772277227723,125
curriculum_w2_mix_125,38,204,54,0.39215686274509803,0.2647058823529412,125
curriculum_w2_mix_125,39,195,59,0.4461538461538462,0.30256410256410254,125
curriculum_w2_mix_125,40,206,61,0.43980582524271844,0.2961165048543689,125
curriculum_w2_mix_125,41,208,53,0.4115384615384615,0.2548076923076923,125
curriculum_w2_mix_125,42,220,55,0.38363636363636366,0.25,125
curriculum_w2_mix_125,43,200,54,0.408,0.27,125
curriculum_w2_mix_125,44,203,58,0.4098522167487685,0.2857142857142857,125
curriculum_w2_mix_125,45,218,60,0.41376146788990825,0.27522935779816515,125
curriculum_w2_mix_125,46,230,62,0.4226086956521739,0.26956521739130435,125
curriculum_w2_mix_125,47,215,59,0.39720930232558144,0.2744186046511628,125
curriculum_w2_mix_125,48,201,67,0.45572139303482584,0.3333333333333333,125
curriculum_w2_mix_125,49,225,50,0.3413333333333333,0.2222222222222222,125
curriculum_w2_mix_125,50,203,64,0.4433497536945813,0.31527093596059114,125
curriculum_w2_mix_125,51,204,58,0.4245098039215686,0.28431372549019607,125
curriculum_w2_mix_125,52,213,61,0.41784037558685444,0.2863849765258216,125
curriculum_w2_mix_125,53,205,67,0.455609756097561,0.32682926829268294,125
curriculum_w2_mix_125,54,173,56,0.42427745664739885,0.3236994219653179,125
curriculum_w2_mix_125,55,205,35,0.35024390243902437,0.17073170731707318,125
curriculum_w2_mix_125,56,196,53,0.42959183673469387,0.27040816326530615,125
curriculum_w2_mix_125,57,203,52,0.39014778325123156,0.2561576354679803,125
curriculum_w2_mix_125,58,195,58,0.40307692307692305,0.29743589743589743,125
curriculum_w2_mix_125,59,212,51,0.3990566037735849,0.24056603773584906,125
curriculum_w2_mix_125,60,193,58,0.45699481865284974,0.3005181347150259,125
curriculum_w2_mix_125,61,208,49,0.37115384615384617,0.23557692307692307,125
curriculum_w2_mix_125,62,213,65,0.4591549295774648,0.3051643192488263,125
curriculum_w2_mix_125,63,197,62,0.4416243654822335,0.3147208121827411,125
curriculum_w2_mix_125,64,224,51,0.3803571428571429,0.22767857142857142,125
curriculum_w2_mix_125,65,216,51,0.3833333333333333,0.2361111111111111,125
curriculum_w2_mix_125,66,187,52,0.42994652406417116,0.27807486631016043,125
curriculum_w2_mix_125,67,207,53,0.3507246376811594,0.2560386473429952,125
curriculum_w2_mix_125,68,202,36,0.32574257425742575,0.1782178217821782,125
curriculum_w2_mix_125,69,231,50,0.3523809523809524,0.21645021645021645,125
curriculum_w2_mix_125,70,239,69,0.42426778242677826,0.28870292887029286,125
curriculum_w2_mix_125,71,209,56,0.383732057416268,0.2679425837320574,125
curriculum_w2_mix_125,72,207,46,0.3739130434782609,0.2222222222222222,125
curriculum_w2_mix_125,73,205,35,0.3053658536585366,0.17073170731707318,125
curriculum_w2_mix_125,74,226,58,0.40884955752212393,0.25663716814159293,125
curriculum_w2_mix_125,75,192,77,0.4916666666666667,0.4010416666666667,125
curriculum_w2_mix_125,76,215,68,0.43999999999999995,0.31627906976744186,125
curriculum_w2_mix_125,77,181,52,0.4198895027624309,0.287292817679558,125
curriculum_w2_mix_125,78,218,69,0.42752293577981654,0.3165137614678899,125
curriculum_w2_mix_125,79,211,61,0.4018957345971564,0.2890995260663507,125
curriculum_w2_mix_125,80,196,36,0.37244897959183676,0.1836734693877551,125
curriculum_w2_mix_125,81,218,62,0.38623853211009174,0.28440366972477066,125
curriculum_w2_mix_125,82,176,55,0.4352272727272727,0.3125,125
curriculum_w2_mix_125,83,209,43,0.3617224880382775,0.20574162679425836,125
curriculum_w2_mix_125,84,190,57,0.4178947368421053,0.3,125
curriculum_w2_mix_125,85,175,24,0.30742857142857144,0.13714285714285715,125
curriculum_w2_mix_125,86,195,54,0.39487179487179486,0.27692307692307694,125
curriculum_w2_mix_125,87,216,54,0.3972222222222222,0.25,125
curriculum_w2_mix_125,88,201,48,0.36218905472636814,0.23880597014925373,125
curriculum_w2_mix_125,89,202,50,0.3435643564356436,0.24752475247524752,125
curriculum_w2_mix_125,90,216,37,0.3472222222222222,0.1712962962962963,125
curriculum_w2_mix_125,91,201,58,0.42885572139303485,0.2885572139303483,125
curriculum_w2_mix_125,92,189,46,0.382010582010582,0.24338624338624337,125
curriculum_w2_mix_125,93,219,59,0.4100456621004566,0.2694063926940639,125
curriculum_w2_mix_125,94,230,51,0.3460869565217391,0.2217391304347826,125
curriculum_w2_mix_125,95,201,38,0.3462686567164179,0.1890547263681592,125
curriculum_w2_mix_125,96,182,45,0.378021978021978,0.24725274725274726,125
curriculum_w2_mix_125,97,234,56,0.38632478632478634,0.23931623931623933,125
