classifier,test,mean_diff,t_stat,p_value,folds
rf,corrected_resampled_t,0.2519019253260558,27.35307227265226,1.0623483451783677e-05,5
lr,corrected_resampled_t,0.5075869141973847,16.732810239493446,7.474893574941027e-05,5
