classifier,feature_set,macro_f1_mean,macro_f1_std,f1_easy,f1_medium,f1_hard
lr,combined,0.8391773799282941,0.023843956831200917,0.84535212269509,0.8661650245797355,0.8060149925100568
lr,domain_only,0.3315904657309095,0.028145146484354937,0.33534531194741257,0.48717324359869574,0.17225284164662016
lr,embeddings,0.8315040987108697,0.014917476322685598,0.8348609276266791,0.8539075919424809,0.8057437765634488
rf,combined,0.5846273189640344,0.02302326782809021,0.8180484313615896,0.8446198503168381,0.09121367521367521
rf,domain_only,0.33272539363797854,0.01780442894911516,0.3304638123661904,0.6677123685477453,0.0
rf,embeddings,0.5848685889530205,0.012956349573725425,0.8168203772752458,0.8442469280453544,0.09353846153846154
